negocio	texto	estrellas	estilo
Mesón	Experiencia aceptable. La calidad de la carne es buena pero el punto de cocción no fue el solicitado.	3	formal
Bar de carretera	Baños sin papel y muy sucios. Vergonzoso.	1	breve
Restaurante	Técnicas de vanguardia mal aplicadas que arruinan la textura del ingrediente principal.	2	formal
Pub	La calidad de los combinados no se corresponde con el posicionamiento del local.	2	formal
Bar	El local es acogedor, pero la música estaba demasiado alta para ser la hora del desayuno. Un volumen más bajo se agradece.	3	constructivo
Cervecería	La selección musical es alternativa y mola mucho, aunque el volumen sube demasiado rápido a partir de las diez de la noche.	4	constructivo
Bar	No lo recomiendo. Los precios son tan bajos que me siento como si estuviera robando al dueño cada vez que pago.	5	sarcástico
Bar	Estado de los aseos lamentable. Falta total de mantenimiento y limpieza diaria.	1	formal
Bar	¡Me flipa la terraza que tienen! Es un oasis en medio de la ciudad y el trato es siempre exquisito. ¡Un lujo!	5	entusiasta
Bar	Un ambiente muy castizo y las tapas están de cine.	5	coloquial
Pub	Diligencia en el servicio incluso con alta ocupación. La limpieza es constante.	4	formal
Cafetería	El sabor del café se veía alterado por un regusto metálico poco habitual.	2	neutral
Cafetería	El suelo estaba tan pegajoso que casi me quedo a vivir allí para siempre. El personal, al menos, pidió perdón.	2	sarcástico
Cafetería	El café tiene buen sabor, pero el servicio en mesa fue algo lento; añadir más personal en horas punta ayudaría.	3	constructivo
Restaurante	El sumiller nos recomendó un blanco excelente.	4	breve
Bar de carretera	¡Muy buena parada! El menú de fin de semana merece mucho la pena. Todo muy rico, solo que el baño de señoras no tenía papel en ese momento.	4	entusiasta
Cafetería	Hacía mucho frío fuera y entrar aquí fue como recibir un abrazo cálido. El chocolate es gloria bendita.	5	anecdótico
Pub	Noche perfecta.	5	breve
Cervecería	Me flipa la IPA que tienen de grifo, aunque el precio pica un poco.	4	coloquial
Pub	¡Qué buen rollo destilan los camareros! Súper profesionales, ¡lástima que el aire no llegara a la esquina!	4	entusiasta
Cafetería	El tiempo de espera es ideal si tienes pensado escribir tus memorias mientras te traen un cruasán.	1	sarcástico
Bar	Vaya pinchos más ricos tienen en la barra, te entran por los ojos.	5	coloquial
Bar de carretera	El servicio de barra es una anarquía. Los camareros atienden a sus amigos primero mientras tú esperas como un tonto.	1	crítico
Bar de carretera	La decoración estilo 'trastero de mi abuelo mezclado con bingo' es fascinante. El café sabe a amargura existencial, pero el azúcar era de marca.	2	sarcástico
Restaurante	El pan llegó a la mesa cuando ya habíamos terminado los entrantes. La coordinación del servicio es deficiente para un sitio de esta categoría.	2	crítico
Pub	Pedimos unos nachos para picar y estaban más duros que una piedra. Casi pierdo un piño.	2	coloquial
Cafetería	Vine a primera hora y el olor a café recién hecho era increíble, aunque todavía estaban limpiando el suelo.	4	anecdótico
Pub	¡Súper vibrante! Es imposible no pasárselo bien aquí, ¡aunque la zona VIP estaba un poco agobiante!	4	entusiasta
Pub	¡Me flipan los cuadros de las paredes! Mucho arte, ¡si tuvieran una carta de snacks más variada sería la bomba!	4	entusiasta
Cervecería	Perfecto para el afterwork, aunque los jueves es imposible pillar mesa.	4	coloquial
Cervecería	Mucho humo en la entrada y el interior súper agobiante. No vuelvo.	2	coloquial
Pub	Destaca la profesionalidad del personal de barra y la calidad de la coctelería clásica.	5	formal
Bar de carretera	Ideal si quieres experimentar la soledad absoluta en una barra llena de gente que no te mira. El café, al menos, servía para calentar las manos.	2	sarcástico
Pub	Buena selección de rock, pero el local huele un poco a cerrado y a humedad.	3	coloquial
Mesón	La calidad es buena, pero los precios han subido mucho. Un ajuste o detalle de la casa compensaría.	3	constructivo
Bar	No me pusieron tapa y a otros sí. Feo detalle.	2	breve
Bar	Traje a unos amigos de fuera y el dueño nos explicó la historia de cada vino que probamos. Salimos de allí encantados.	5	anecdótico
Bar	Barato y rico. El camarero es un poco seco.	4	breve
Cervecería	El servicio es de lo más lento que he visto en mi vida. Te mueres de sed esperando la birra.	1	coloquial
Cafetería	La temperatura del café es la adecuada y la oferta de repostería es variada.	5	neutral
Restaurante	Esperamos dos horas por el plato principal y llegó frío. No pidieron ni una disculpa.	1	crítico
Bar	Le falta un poco de orden al local.	3	breve
Cafetería	Me gusta el detalle del agua gratis, pero los vasos olían un poco a humedad al servirlos.	3	constructivo
Bar de carretera	Un bocadillo de lomo normalito tirando a seco. El precio es algo elevado para ser un sitio de paso sin nada especial.	3	crítico
Pub	Fui por mi cumpleaños y el camarero nos trajo una ronda de chupitos de la casa con una bengala. ¡Detallazo!	5	anecdótico
Restaurante	Un restaurante que vive de rentas y de engañar a turistas desprevenidos.	1	crítico
Mesón	Es entrar y que te invada ese olorcillo a leña y comida casera... ¡Qué lujo!	5	coloquial
Restaurante	Ambiente sofisticado, pero el trato del personal de sala fue un tanto distante.	3	constructivo
Restaurante	La bodega es una de las más completas que he visitado. Joyas enológicas servidas a la temperatura perfecta.	5	neutral
Bar	¡Es mi bar de cabecera! No hay tarde que no pase por aquí para disfrutar de su buen rollo y su cerveza helada. ¡Los mejores!	5	entusiasta
Cafetería	Terraza agradable, café bien tirado.	4	breve
Cafetería	Muy rico el Chai Latte, aunque para mi gusto tenía demasiada canela; quizás mejor dejarlo al gusto.	4	constructivo
Bar de carretera	Pedí leche sin lactosa y el camarero me miró como si le estuviera hablando en élfico. Tres estrellas porque al final me trajo un té aceptable.	3	sarcástico
Cafetería	Traje a mis padres de visita y quedaron enamorados del patio interior. Es un oasis en plena ciudad.	5	anecdótico
Pub	Un sitio mítico. Si quieres buena fiesta y gente sana, no busques más.	5	coloquial
Bar	No lo recomiendo si valoras tu tiempo. Se está tan a gusto que entré a desayunar y me dieron las seis de la tarde.	5	sarcástico
Restaurante	Ejecución técnica decepcionante en los platos principales. Se espera más de este nivel de precios.	2	formal
Pub	Un antro.	1	breve
Cervecería	Buenas cervezas y raciones generosas. Volveremos.	4	breve
Pub	Pedimos una tabla de quesos para acompañar la ronda y estaba todo fresco y riquísimo. No era el típico snack de bolsa.	5	anecdótico
Cafetería	Producto reseco y claramente no elaborado en el día. Una falta de respeto.	1	formal
Pub	Muy flojo.	2	breve
Cervecería	Limpieza de los conductos de cerveza deficiente, afectando negativamente al sabor.	2	formal
Pub	La carta de rones es de lo mejor, pero molaría que pusieran algo más de picoteo gratis.	4	coloquial
Bar	Me encanta venir los lunes porque el olor a churros recién hechos me recuerda a los desayunos que me hacía mi abuela.	5	anecdótico
Bar	Cerveza poco fría y ración escasa.	2	neutral
Pub	Buena selección de cervezas de importación, aunque el precio pica un poquito.	4	coloquial
Pub	Para una noche tonta está bien, pero no es el sitio que elegiría para ir todos los findes.	3	coloquial
Mesón	Trato exquisito en un entorno rústico cuidadosamente preservado. La bodega es muy coherente.	5	formal
Bar de carretera	Le falta mantenimiento general al local. El bocadillo era grande pero el embutido era de baja calidad.	3	crítico
Cervecería	El camarero tiró la caña con tanta maestría que le hice un vídeo para enseñárselo a mis amigos. La crema de la espuma era perfecta, como debe ser.	5	anecdótico
Pub	Descoordinación en el servicio de barra que genera colas innecesarias y confusión.	2	formal
Restaurante	Sillas muy incómodas para una cena de dos horas. Salimos con dolor de espalda.	2	crítico
Mesón	Buen trato al producto aunque se echa en falta una mayor oferta de pescados frescos.	4	formal
Cervecería	Si buscas cañeo del bueno, este es tu sitio fijo.	5	coloquial
Pub	Me gustó que tuvieran dardos, pero las puntas se caían todo el rato y al final nos cansamos de recogerlas del suelo.	3	anecdótico
Cafetería	Desayuno espectacular. El croissant de mantequilla, increíble.	5	breve
Bar de carretera	No nos dejaron usar el baño si no consumíamos primero, y cuando entramos estaba inutilizable de lo sucio que estaba.	1	crítico
Restaurante	La técnica del ahumado en los pescados es notable. La ensalada de perdiz estaba bien equilibrada, aunque el servicio se distrajo al final de la cena.	4	neutral
Pub	Oferta de bebidas convencional. El ambiente es algo ruidoso durante el fin de semana.	3	formal
Cafetería	En resumen: una experiencia única. Tan única que no pienso repetirla ni en esta vida ni en las siete siguientes.	1	sarcástico
Restaurante	Creatividad sin límites. El snack de bienvenida de remolacha es una explosión de sabor necesaria.	5	constructivo
Pub	Acompañé a mi hermano por su cumple y le regalaron un chupito, un gesto genial, aunque tardaron mucho en traernos la cuenta.	4	anecdótico
Pub	Baños asquerosos.	1	breve
Cafetería	La máquina de café presentaba falta de mantenimiento afectando al sabor del agua.	1	neutral
Mesón	Nos pusieron aceitunas de aperitivo, pero estaban blandas. Un producto más fresco daría mejor bienvenida.	3	constructivo
Cervecería	Muy rico todo. El camarero nos aconsejó muy bien.	4	breve
Restaurante	Local minimalista con una propuesta sabrosa.	4	breve
Bar de carretera	Pedí leche sin lactosa y me dijeron que eso eran 'tonterías modernas'. Una falta de respeto y de profesionalidad.	1	crítico
Mesón	No sabría qué plato recomendar porque está todo de miedo. ¡Probadlo todo!	5	coloquial
Bar	Local pequeño y algo agobiante.	2	neutral
Pub	Las raciones para compartir están ricas, pero las patatas llegaron algo frías.	4	coloquial
Cafetería	Baños impresentables y café mediocre.	2	breve
Cafetería	Desayuno completo y a precio razonable.	4	breve
Bar	¡Espectacular atención al cliente! Nos trataron como si fuéramos VIPs desde el primer minuto. ¡Volveré sin duda!	5	entusiasta
Pub	Poco cuidado.	2	breve
Cervecería	Un sitio muy auténtico para el tardeo, pero la iluminación en el baño es tan tenue que apenas se ve nada.	4	constructivo
Pub	Todo roto.	2	breve
Mesón	El menú infantil incluía unos nuggets tan procesados que la tabla periódica se queda corta.	2	sarcástico
Cafetería	¡Imprescindible! Si buscas calidad y buen rollo, este es tu sitio. ¡A por ello!	5	entusiasta
Cervecería	La cerveza estaba sin gas, parecía agua sucia. Una decepción total.	2	coloquial
Mesón	Cubiertos con restos de comida. Tuvimos que pedir que nos los cambiaran.	1	crítico
Restaurante	Sitio de diez para quedar bien. La comida se sale, sobre todo el arroz. Lo único malo que el vino me pareció un pelín caro, pero por lo demás genial.	4	coloquial
Cafetería	Tienen mucha bollería dulce, pero se echan de menos opciones de fruta fresca o yogur natural.	3	constructivo
Mesón	El mesón estaba a tope, pero nos habilitaron una mesa pequeña en un rincón precioso para que no nos fuéramos sin comer.	5	anecdótico
Bar de carretera	La limpieza en la zona de mesas brilla por su ausencia. Tuvimos que limpiar nosotros los restos de la mesa anterior.	2	crítico
Cafetería	Buena relación calidad-precio en los desayunos. El servicio es diligente y discreto.	4	formal
Bar de carretera	La zona de barra es una jungla de palillos y migas, pero la cocina es un santuario de sabor. El bocata de calamares es obligatorio.	4	sarcástico
Pub	Entramos para refugiarnos de la tormenta y acabamos bailando rock toda la noche, pero el suelo estaba algo pegajoso al final.	4	anecdótico
Cafetería	Huele fatal en el interior, una mezcla entre humedad y fritura rancia que te quita el apetito.	1	crítico
Cervecería	Buenísima la variedad de birras internacionales que tienen.	5	coloquial
Restaurante	La carne estaba podrida. El olor era insoportable y aun así intentaron servirla.	1	crítico
Restaurante	Venden lujo pero los baños estaban sucios y no había ni jabón. Un desastre absoluto.	1	crítico
Cervecería	De mis sitios favoritos para desconectar y echar una birra.	5	coloquial
Pub	Me encantaron los cuadros de las paredes, tienen mucho estilo, pero el local me pareció un poco oscuro de más.	4	anecdótico
Mesón	Precios algo altos para ser comida tan sencilla.	3	breve
Cervecería	Está bien para una caña rápida sin más.	3	breve
Restaurante	Gracias por poner el listón tan alto; ahora el resto de restaurantes de la ciudad me parecen bares de carretera.	5	sarcástico
Mesón	Rico y abundante aunque el local es algo ruidoso.	4	breve
Bar	¡Una experiencia de diez! El ambiente es súper ecléctico y la gente que va es majísima. ¡Me encanta la vibra del local!	5	entusiasta
Cervecería	Ayer nos encontramos con unos antiguos vecinos en la barra. Entre charla y charla, cayeron varias rondas de la rubia de la casa. Noche redonda.	5	anecdótico
Cervecería	Tiraje técnico impecable respetando los estándares de cada estilo de cerveza. Excelente.	5	formal
Cervecería	Está ok pero hacía mucho ruido dentro.	3	breve
Cafetería	La leche presentaba un exceso de temperatura que alteraba el sabor natural del grano.	2	neutral
Pub	Me gustó que tuvieran Wi-Fi para trabajar un rato, pero la señal solo llegaba a la mesa de la entrada que era la más ruidosa.	3	anecdótico
Mesón	Desayuno contundente, pero el tomate era de bote. Si lo rallaran natural, el cambio sería increíble.	3	constructivo
Bar de carretera	La tortilla estaba cruda por un lado y quemada por el otro. Se nota que recalientan todo en el microondas sin ningún cuidado.	1	crítico
Mesón	Nos cobraron el pan y las aceitunas sin haberlos pedido. Unos aprovechados.	1	crítico
Cervecería	¡Inmejorable! No solo es la bebida, es la experiencia completa. ¡Volveré pronto con más gente para que lo flipen!	5	entusiasta
Bar	Calidad-precio ideal.	5	breve
Restaurante	Ambiente muy exclusivo. Sugeriría incluir un poco más de variedad de pan artesano durante el menú.	5	constructivo
Bar de carretera	El baño es un reto de supervivencia: si consigues salir sin tocar nada y sin respirar, te dan el carnet de aventurero.	1	sarcástico
Cafetería	El local cerró antes del horario publicado sin previo aviso a los clientes presentes.	1	neutral
Bar de carretera	El filete de pescado estaba medio congelado por dentro. Casi me rompo un diente. No saben cocinar ni lo más básico.	1	crítico
Bar	Nos cobraron un suplemento por terraza del que no avisaron en ningún momento. Malas prácticas con los clientes.	2	crítico
Mesón	Entramos tiritando por el frío y el dueño nos sentó junto a la chimenea antes incluso de pedir. Ese caldo nos devolvió la vida.	5	anecdótico
Mesón	La carne estaba muy dura y difícil de masticar.	2	crítico
Restaurante	El local estaba lleno de moscas y el aire acondicionado no funcionaba. Una tortura pagada.	1	crítico
Cafetería	¡Vaya maravilla! El local es súper instagrameable y el café está brutal.	5	entusiasta
Bar de carretera	El aire acondicionado es tan ecológico que consiste en abrir la puerta para que entre el aire caliente de la autovía. Un concepto refrescante y ruidoso.	2	sarcástico
Cafetería	¡Súper top! Ideal para quedar con amigos o leer un libro tranquilamente.	5	entusiasta
Cafetería	Me recomendaron este sitio en un foro de café y la verdad es que han superado todas mis expectativas.	5	anecdótico
Bar	No se respetaron los ingredientes indicados en la carta.	1	neutral
Cafetería	La tarta de queso es espectacular.	5	breve
Pub	Súper animado.	4	breve
Cervecería	Fui porque me dijeron que tenían 20 grifos diferentes. Al llegar, solo funcionaban 5 porque decían que estaban limpiando conductos. Me tomé una rubia normalita y me fui a otro sitio con más suerte.	3	anecdótico
Mesón	Si buscas una experiencia de ayuno intermitente, ven aquí. Verás pasar los platos de todas las mesas menos la tuya.	1	sarcástico
Mesón	El bizcocho del postre es de elaboración propia.	4	neutral
Pub	Me encanta que tengan una zona de libros. Me tomé una pinta mientras leía un rato tranquilamente.	5	anecdótico
Bar	Las croquetas estaban ricas, pero tardaron media hora en servirlas a pesar de que el bar estaba medio vacío.	3	crítico
Mesón	La limpieza del establecimiento es aceptable en general.	4	neutral
Pub	Nada recomendable.	1	breve
Pub	No vuelvo ni aunque me inviten. Es el peor pub de toda la ciudad con diferencia.	1	coloquial
Mesón	El local mantiene una temperatura constante gracias a su estructura de piedra.	5	neutral
Cafetería	Nada especial, precio algo elevado.	3	breve
Bar	¡Qué alegría ver un bar tan limpio y cuidado! Se nota que le ponen mucho cariño a todo.	4	entusiasta
Mesón	Vino de la casa imbebible. Parecía vinagre del barato servido en copa sucia.	1	crítico
Mesón	Espera injustificada de 40 minutos por unos huevos rotos.	2	crítico
Pub	Música insoportable.	1	breve
Bar de carretera	¡Un descubrimiento total! Comida de la abuela en plena ruta. El personal es un encanto, aunque el televisor estaba demasiado fuerte.	4	entusiasta
Bar de carretera	Recomendable al 100% si lo que buscas es una excusa para faltar al trabajo mañana por una gastroenteritis fulminante.	1	sarcástico
Cervecería	El otro día nos sentamos en la terraza. Hacía un sol de justicia y no quisieron abrir el toldo porque decían que se enganchaba. Nos tomamos la primera ronda rápido y nos fuimos antes de derretirnos.	3	anecdótico
Cervecería	Higiene de los aseos y zonas comunes lamentable. No es un lugar recomendable.	1	formal
Cafetería	Trato altivo del encargado tras señalar un error en la preparación del café.	1	formal
Bar de carretera	Personal muy agresivo y borde.	1	breve
Bar	Servicio amable y atento.	4	breve
Cervecería	Mobiliario tipo taburete que no resulta confortable para estancias de más de una hora.	3	formal
Cervecería	Hacía mucho calor dentro. No se estaba a gusto.	2	breve
Bar	La tortilla de patatas es de otro planeta.	5	breve
Cafetería	Me encantó que el camarero me tuteara y me contara su vida. No sabía que el café incluía una sesión de terapia no deseada.	2	sarcástico
Mesón	Desorganización total entre la cocina y la sala.	2	crítico
Bar de carretera	El café de máquina es de los peores que he probado. Al menos el camarero fue rápido en atendernos en la barra.	3	crítico
Pub	El diseño del baño es súper original, pero no había ni una pizca de papel y el pestillo no funcionaba.	3	anecdótico
Restaurante	Técnica asombrosa. Sería interesante ver alguna opción más en el maridaje sin alcohol.	5	constructivo
Pub	Me encontré con un grupo de amigos y el sitio estaba animado, pero el suelo estaba tan pegajoso que casi se me queda la zapatilla allí.	3	anecdótico
Bar	El aire acondicionado estaba demasiado fuerte.	2	neutral
Cafetería	Café delicioso y ambiente relajado.	5	breve
Pub	El barman me prometió un cóctel especial y me trajo un vaso lleno de sirope que no se podía ni beber. 12 euros a la basura.	2	anecdótico
Cafetería	¡Un ambiente de diez y un producto de veinte! ¡No se puede pedir más!	5	entusiasta
Mesón	Se come de escándalo, raciones a tope y todo casero. Le quito una estrella por el jaleo que había.	4	coloquial
Bar	¡Vaya ambientazo para ver el fútbol! Se vive con mucha pasión y las cañas no faltan.	4	entusiasta
Cafetería	Me sorprendió ver tantas opciones sin gluten, pero el suplemento de precio me pareció un poco abusivo.	3	anecdótico
Restaurante	El sumiller fue extremadamente maleducado al cuestionar mi elección de vino.	2	crítico
Restaurante	La vajilla estaba desconchada en los bordes. En un restaurante que cobra estos precios, esos detalles son simplemente inadmisibles.	2	crítico
Cafetería	Buen ambiente para leer, café correcto.	4	breve
